DayIndex,Date,Hour,Team,Minimo,Capacity,LB_slot
21,2021-11-21,12-13,A,-1,0,0
21,2021-11-21,12-13,B,-1,0,0
21,2021-11-21,13-14,A,-1,0,0
21,2021-11-21,13-14,B,-1,0,0
21,2021-11-21,14-15,A,-1,0,0
21,2021-11-21,14-15,B,-1,0,0
21,2021-11-21,15-16,A,-1,0,0
21,2021-11-21,15-16,B,-1,0,0
21,2021-11-21,16-17,A,-1,0,0
21,2021-11-21,16-17,B,-1,0,0
21,2021-11-21,17-18,A,-1,0,0
21,2021-11-21,17-18,B,-1,0,0
21,2021-11-21,18-19,A,-1,0,0
21,2021-11-21,18-19,B,-1,0,0
21,2021-11-21,19-20,A,-1,0,0
21,2021-11-21,19-20,B,-1,0,0
21,2021-11-21,20-21,A,-1,0,0
21,2021-11-21,20-21,B,-1,0,0
21,2021-11-21,21-22,A,-1,0,0
21,2021-11-21,21-22,B,-1,0,0
22,2021-11-22,09-10,A,3,19,0
22,2021-11-22,09-10,B,2,19,0
22,2021-11-22,10-11,A,4,19,0
22,2021-11-22,10-11,B,2,19,0
22,2021-11-22,11-12,A,4,19,0
22,2021-11-22,11-12,B,3,19,0
22,2021-11-22,12-13,A,4,19,0
22,2021-11-22,12-13,B,4,19,0
22,2021-11-22,13-14,A,4,19,0
22,2021-11-22,13-14,B,4,19,0
22,2021-11-22,14-15,A,4,19,0
22,2021-11-22,14-15,B,3,19,0
22,2021-11-22,15-16,A,3,19,0
22,2021-11-22,15-16,B,2,19,0
22,2021-11-22,16-17,A,2,19,0
22,2021-11-22,16-17,B,2,19,0
22,2021-11-22,17-18,A,3,19,0
22,2021-11-22,17-18,B,2,19,0
22,2021-11-22,18-19,A,4,19,0
22,2021-11-22,18-19,B,3,19,0
22,2021-11-22,19-20,A,4,19,0
22,2021-11-22,19-20,B,4,19,0
22,2021-11-22,20-21,A,4,19,0
22,2021-11-22,20-21,B,3,19,0
22,2021-11-22,21-22,A,2,19,0
22,2021-11-22,21-22,B,2,19,0
23,2021-11-23,09-10,A,3,19,0
23,2021-11-23,09-10,B,2,19,0
23,2021-11-23,10-11,A,4,19,0
23,2021-11-23,10-11,B,3,19,0
23,2021-11-23,11-12,A,4,19,0
23,2021-11-23,11-12,B,3,19,0
23,2021-11-23,12-13,A,4,19,0
23,2021-11-23,12-13,B,4,19,0
23,2021-11-23,13-14,A,4,19,0
23,2021-11-23,13-14,B,4,19,0
23,2021-11-23,14-15,A,4,19,0
23,2021-11-23,14-15,B,4,19,0
23,2021-11-23,15-16,A,3,19,0
23,2021-11-23,15-16,B,2,19,0
23,2021-11-23,16-17,A,2,19,0
23,2021-11-23,16-17,B,1,19,0
23,2021-11-23,17-18,A,3,19,0
23,2021-11-23,17-18,B,2,19,0
23,2021-11-23,18-19,A,4,19,0
23,2021-11-23,18-19,B,3,19,0
23,2021-11-23,19-20,A,4,19,0
23,2021-11-23,19-20,B,3,19,0
23,2021-11-23,20-21,A,4,19,0
23,2021-11-23,20-21,B,3,19,0
23,2021-11-23,21-22,A,2,19,0
23,2021-11-23,21-22,B,2,19,0
24,2021-11-24,09-10,A,3,19,0
24,2021-11-24,09-10,B,2,19,0
24,2021-11-24,10-11,A,4,19,0
24,2021-11-24,10-11,B,3,19,0
24,2021-11-24,11-12,A,4,19,0
